key,role,period,wins,matches
1,4,35-40,1075,152
1,4,40+,1064,1997
1,1,0-15,72,26
1,1,15-20,28,196
1,1,20-25,82,220
1,1,30-35,39,114
1,1,35-40,47,84
1,1,40+,8,209
1,5,0-15,57397,113605
1,5,15-20,32338,60712
1,5,20-25,36460,76472
1,5,30-35,57714,109123
1,5,35-40,9881,23349
1,5,40+,17271,32586
1,3,0-15,864,1997
1,3,15-20,578,1441
1,3,20-25,982,152
1,3,30-35,183,558
1,3,35-40,349,2034
1,3,40+,599,1271
1,2,0-15,7788,18472
1,2,15-20,1695,15801
1,2,20-25,7693,6553
1,2,30-35,5256,16481
1,2,35-40,4505,9267
1,2,40+,277,4997
523,4,0-15,859,589
523,4,15-20,1002,1929
523,4,20-25,749,2166
523,4,30-35,243,1653
523,4,35-40,244,492
523,4,40+,456,912
523,1,0-15,29,6
523,1,15-20,26,44
523,1,20-25,14,72
523,1,30-35,13,85
523,1,35-40,11,65
523,1,40+,2,33
523,5,0-15,1212,2711
523,5,15-20,951,2135
523,5,20-25,1118,707
523,5,30-35,280,2444
523,5,35-40,345,1255
523,5,40+,619,106
523,3,0-15,96952,157977
523,3,15-20,69014,214147
523,3,20-25,22679,184605
523,3,30-35,87510,53889
523,3,35-40,46743,94769
523,3,40+,23483,7405
523,2,0-15,184,209
523,2,15-20,175,381
523,2,20-25,118,588
523,2,30-35,74,509
523,2,35-40,137,596
523,2,40+,33,158
22,4,0-15,6816,14523
22,4,15-20,5582,12357
22,4,20-25,7462,15844
22,4,30-35,1873,8017
22,4,35-40,1936,4462
22,4,40+,3856,4052
22,1,0-15,171,301
22,1,15-20,76,540
22,1,20-25,167,502
22,1,30-35,117,527
22,1,35-40,106,187
22,1,40+,41,304
22,5,0-15,3800,11290
22,5,15-20,5377,8563
22,5,20-25,5834,12266
22,5,30-35,3228,6595
22,5,35-40,1124,2821
22,5,40+,1801,507
22,3,0-15,193137,382396
22,3,15-20,255825,509925
22,3,20-25,278612,549299
22,3,30-35,138759,280053
22,3,35-40,61392,122539
22,3,40+,9483,145054
22,2,0-15,44516,395072
22,2,15-20,183556,277435
22,2,20-25,201740,366804
22,2,30-35,97170,95614
22,2,35-40,139676,196256
22,2,40+,48207,97441
136,4,0-15,20,1301
136,4,15-20,392,41
136,4,20-25,364,852
136,4,30-35,670,733
136,4,35-40,98,427
136,4,40+,632,1364
136,1,0-15,43,110
136,1,15-20,15,10
136,1,20-25,18,55
136,1,30-35,24,153
136,1,35-40,40,42
136,1,40+,27,96
136,5,0-15,6464,12767
136,5,15-20,3291,6676
136,5,20-25,8155,16958
136,5,30-35,12661,25417
136,5,35-40,11864,5231
136,5,40+,2451,23534
136,3,0-15,130,218
136,3,15-20,73,302
136,3,20-25,118,296
136,3,30-35,32,80
136,3,35-40,77,173
136,3,40+,17,27
136,2,0-15,447,1106
136,2,15-20,466,1072
136,2,20-25,273,206
136,2,30-35,313,52
136,2,35-40,69,750
136,2,40+,206,654
268,4,0-15,3196,6763
268,4,15-20,1041,9839
268,4,20-25,3929,2348
268,4,30-35,4592,4556
268,4,35-40,1087,8489
268,4,40+,2118,2261
268,1,0-15,17,90
268,1,15-20,24,76
268,1,20-25,7,88
268,1,30-35,21,29
268,1,35-40,8,11
268,1,40+,2,23
268,5,0-15,75907,43109
268,5,15-20,84866,130686
268,5,20-25,57458,163717
268,5,30-35,2648,82960
268,5,35-40,18215,187546
268,5,40+,39582,6093
268,3,0-15,597,1523
268,3,15-20,380,1384
268,3,20-25,573,1106
268,3,30-35,102,386
268,3,35-40,351,784
268,3,40+,191,406
268,2,0-15,1921,4228
268,2,15-20,961,2129
268,2,20-25,2157,5074
268,2,30-35,1541,196
268,2,35-40,555,4009
268,2,40+,75,1499
432,4,0-15,520,1267
432,4,15-20,90,321
432,4,20-25,484,946
432,4,30-35,326,1080
432,4,35-40,13,297
432,4,40+,257,52
432,1,0-15,114,342
432,1,15-20,134,365
432,1,20-25,66,408
432,1,30-35,77,28
432,1,35-40,19,146
432,1,40+,37,210
432,5,0-15,320,937
432,5,15-20,70,684
432,5,20-25,191,259
432,5,30-35,330,285
432,5,35-40,193,744
432,5,40+,131,454
432,3,0-15,28,462
432,3,15-20,107,452
432,3,20-25,170,491
432,3,30-35,151,238
432,3,35-40,114,113
432,3,40+,6,256
432,2,0-15,47345,95666
432,2,15-20,70283,140818
432,2,20-25,13946,29054
432,2,30-35,62458,124592
432,2,35-40,32277,64154
432,2,40+,2135,4465
200,4,0-15,944,1953
200,4,15-20,2869,6067
200,4,20-25,3492,6426
200,4,30-35,3042,7717
200,4,35-40,1579,3348
200,4,40+,809,279
200,1,0-15,211780,97852
200,1,15-20,178188,410288
200,1,20-25,58376,316016
200,1,30-35,78367,332686
200,1,35-40,163535,160801
200,1,40+,6875,12210
200,5,0-15,647,2694
200,5,15-20,1661,1079
200,5,20-25,1534,2931
200,5,30-35,1281,3396
200,5,35-40,93,1270
200,5,40+,636,156
200,3,0-15,189,434
200,3,15-20,227,504
200,3,20-25,110,473
200,3,30-35,234,26
200,3,35-40,60,247
200,3,40+,63,160
200,2,0-15,453,1048
200,2,15-20,220,519
200,2,20-25,490,1204
200,2,30-35,150,336
200,2,35-40,462,1030
200,2,40+,135,46
53,4,0-15,166,353
53,4,15-20,311,1035
53,4,20-25,474,1318
53,4,30-35,430,363
53,4,35-40,12,1171
53,4,40+,79,85
53,1,0-15,190,82
53,1,15-20,388,1121
53,1,20-25,416,447
53,1,30-35,297,463
53,1,35-40,337,1412
53,1,40+,15,1319
53,5,0-15,625,1794
53,5,15-20,146,573
53,5,20-25,726,1449
53,5,30-35,417,1764
53,5,35-40,449,1006
53,5,40+,30,146
53,3,0-15,251,898
53,3,15-20,125,816
53,3,20-25,55,931
53,3,30-35,159,328
53,3,35-40,322,301
53,3,40+,202,572
53,2,0-15,215683,355210
53,2,15-20,242803,433541
53,2,20-25,62874,490392
53,2,30-35,178254,118853
53,2,35-40,50958,103658
53,2,40+,111917,223955
63,4,0-15,769,1607
63,4,15-20,3210,4677
63,4,20-25,2328,3826
63,4,30-35,3129,6450
63,4,35-40,1883,6522
63,4,40+,1162,2437
63,1,0-15,660,2329
63,1,15-20,928,1375
63,1,20-25,1003,94
63,1,30-35,592,2348
63,1,35-40,201,1596
63,1,40+,377,585
63,5,0-15,28854,55390
63,5,15-20,44506,85377
63,5,20-25,8448,84349
63,5,30-35,14841,16917
63,5,35-40,26316,29674
63,5,40+,44572,51029
63,3,0-15,2066,831
63,3,15-20,8511,4646
63,3,20-25,4723,16707
63,3,30-35,8147,11956
63,3,35-40,5959,9669
63,3,40+,2646,16254
63,2,0-15,127341,231428
63,2,15-20,188963,359756
63,2,20-25,194060,368803
63,2,30-35,5895,11142
63,2,35-40,111159,69356
63,2,40+,37188,222595
201,4,0-15,491,1470
201,4,15-20,12,351
201,4,20-25,635,49
201,4,30-35,409,1441
201,4,35-40,291,1079
201,4,40+,79,823
201,1,0-15,89,213
201,1,15-20,57,260
201,1,20-25,68,10
201,1,30-35,38,233
201,1,35-40,45,134
201,1,40+,14,72
201,5,0-15,74,153
201,5,15-20,41,175
201,5,20-25,39,10
201,5,30-35,9,153
201,5,35-40,43,60
201,5,40+,15,37
201,3,0-15,67,215
201,3,15-20,36,255
201,3,20-25,73,149
201,3,30-35,29,69
201,3,35-40,48,184
201,3,40+,6,99
201,2,0-15,57254,120495
201,2,15-20,35805,24831
201,2,20-25,54461,82110
201,2,30-35,28974,105818
201,2,35-40,10580,54576
201,2,40+,12799,3476
51,4,0-15,4004,3025
51,4,15-20,5056,8636
51,4,20-25,1395,11203
51,4,30-35,4682,5785
51,4,35-40,2678,3307
51,4,40+,1547,10399
51,1,0-15,100,341
51,1,15-20,89,149
51,1,20-25,52,342
51,1,30-35,43,298
51,1,35-40,94,176
51,1,40+,27,114
51,5,0-15,6723,14701
51,5,15-20,8882,18473
51,5,20-25,4864,19929
51,5,30-35,2275,10447
51,5,35-40,8264,5004
51,5,40+,2784,768
51,3,0-15,547515,276821
51,3,15-20,600451,1127962
51,3,20-25,144505,1218171
51,3,30-35,435084,40498
51,3,35-40,21832,853281
51,3,40+,299562,616018
51,2,0-15,1755,861
51,2,15-20,1714,4178
51,2,20-25,1164,2038
51,2,30-35,1251,4473
51,2,35-40,409,2646
51,2,40+,81,5067
164,4,0-15,29210,61033
164,4,15-20,124430,250950
