key,role,objective,secured,wins,matches
266,2,hextechSoul,False,1999,275
103,4,blue,True,329470,6897
103,4,blue,False,323816,6800
103,4,rift1,True,378129,6383
103,4,rift1,False,271419,7209
103,4,rift2,True,321719,4948
103,4,rift2,False,173104,5396
103,4,riftDouble,True,201312,2902
103,4,riftDouble,False,94806,3435
103,4,eliteDouble,True,247398,3296
103,4,eliteDouble,False,81884,3770
103,4,dragon1,True,439178,6740
103,4,dragon1,False,211883,6895
103,4,baron1,True,355586,4338
103,4,baron1,False,79389,4751
103,4,blood1,True,376214,6634
103,4,blood1,False,274265,6993
103,4,tower1,True,448100,6406
103,4,tower1,False,203299,7240
103,4,inhibitor1,True,519872,5777
103,4,inhibitor1,False,58290,6288
103,4,dragonSoul,True,173604,1909
103,4,dragonSoul,False,17703,2095
103,4,airSoul,True,34399,375
103,4,airSoul,False,3102,440
103,4,waterSoul,True,33300,377
103,4,waterSoul,False,3000,361
103,4,fireSoul,True,36499,392
103,4,fireSoul,False,4601,428
103,4,earthSoul,True,33701,373
103,4,earthSoul,False,3299,423
103,4,hextechSoul,True,35699,392
103,4,hextechSoul,False,3699,443
103,1,blue,True,12501,377
103,1,blue,False,11198,358
103,1,rift1,True,9900,192
103,1,rift1,False,13702,526
103,1,rift2,True,7300,138
103,1,rift2,False,5999,311
103,1,riftDouble,True,2700,42
103,1,riftDouble,False,4599,266
103,1,eliteDouble,True,4000,50
103,1,eliteDouble,False,8200,419
103,1,dragon1,True,9600,154
103,1,dragon1,False,13997,569
103,1,baron1,True,11500,147
103,1,baron1,False,2601,256
103,1,blood1,True,13899,304
103,1,blood1,False,9101,402
103,1,tower1,True,16401,275
103,1,tower1,False,7298,457
103,1,inhibitor1,True,18601,225
103,1,inhibitor1,False,3201,413
103,1,dragonSoul,True,3600,42
103,1,dragonSoul,False,2000,163
103,1,airSoul,True,400,4
103,1,airSoul,False,100,44
103,1,waterSoul,True,900,11
103,1,waterSoul,False,600,25
103,1,fireSoul,True,1100,11
103,1,fireSoul,False,500,30
103,1,earthSoul,True,400,6
103,1,earthSoul,False,400,35
103,1,hextechSoul,True,800,10
103,1,hextechSoul,False,400,29
103,5,blue,True,34224546,690011
103,5,blue,False,32614753,686193
103,5,rift1,True,39505320,666869
103,5,rift1,False,26960333,701179
103,5,rift2,True,34796535,527780
103,5,rift2,False,17747313,551330
103,5,riftDouble,True,22435474,320278
103,5,riftDouble,False,9788579,345398
103,5,eliteDouble,True,25180489,334136
103,5,eliteDouble,False,8478482,366083
103,5,dragon1,True,43898905,670417
103,5,dragon1,False,22705927,700584
103,5,baron1,True,37251402,456121
103,5,baron1,False,8160372,477494
103,5,blood1,True,39024297,677270
103,5,blood1,False,27505425,692483
103,5,tower1,True,46564116,663401
103,5,tower1,False,20070643,708209
103,5,inhibitor1,True,53335037,590839
103,5,inhibitor1,False,5555324,614527
103,5,dragonSoul,True,16429790,181645
103,5,dragonSoul,False,1833352,203029
103,5,airSoul,True,3391645,36942
103,5,airSoul,False,330701,41286
103,5,waterSoul,True,3211352,35817
103,5,waterSoul,False,383336,40182
103,5,fireSoul,True,3197936,35309
103,5,fireSoul,False,365642,39232
103,5,earthSoul,True,3320886,36768
103,5,earthSoul,False,363124,41311
103,5,hextechSoul,True,3307289,36809
103,5,hextechSoul,False,391312,41018
103,3,blue,True,170504,3956
103,3,blue,False,162207,4035
103,3,rift1,True,208285,3865
103,3,rift1,False,122096,4055
103,3,rift2,True,165296,2804
103,3,rift2,False,87014,3101
103,3,riftDouble,True,115204,1790
103,3,riftDouble,False,44906,1924
103,3,eliteDouble,True,130699,1851
103,3,eliteDouble,False,43312,2385
103,3,dragon1,True,211005,3515
103,3,dragon1,False,120789,4431
103,3,baron1,True,165190,2126
103,3,baron1,False,39706,2714
103,3,blood1,True,182687,3548
103,3,blood1,False,147594,4394
103,3,tower1,True,231008,3529
103,3,tower1,False,100491,4423
