key,role,physicalDamage,magicDamage,trueDamage,damage,damageTaken,heal,kills,deaths,assists,maxSpree,gold,minions,jungleCS
53,3,3450,6877,739,11067,20416,1626,3.9,6.42,8.26,1.6,8156,66.41,3.53
53,2,2517,5883,786,9188,21655,1695,2.24,6.22,13.07,0.85,7906,33.26,0.96
63,4,882,23384,1055,25324,20840,1701,5.51,6.85,6.62,2.31,10995,149.47,9.09
63,1,705,21599,1347,23652,27237,6332,5.99,7.43,8.31,2.47,11415,44.47,111.47
63,5,802,24672,1256,26732,21079,1807,6.47,6.87,7.86,2.73,11304,149.42,8.56
63,3,788,24946,1099,26835,19945,1766,6.74,6.7,7.93,2.92,11375,149.9,8.68
63,2,724,22210,1060,23995,19939,1684,5.25,8.14,10.02,2.02,10227,47.9,5.99
201,4,5024,7953,936,13914,26600,2579,3.36,6.71,7.83,1.36,9483,116.13,6.25
201,1,3302,5772,1005,10081,28504,5946,2.97,6.91,9.11,1.2,9020,25.36,80.53
201,5,3909,7100,977,11988,24863,2051,3.3,6.69,8.5,1.39,8782,96.08,4.89
201,3,2386,5581,596,8564,20977,1856,2.46,6.15,9.28,0.93,7604,61.14,3.12
201,2,1360,6040,574,7977,22316,2290,1.56,6.07,14.11,0.52,7773,33.2,0.73
51,4,18776,1609,1111,21498,20270,2650,5.98,6.88,4.9,2.63,12185,169.76,13.71
51,1,14174,1166,1201,16544,22592,5344,5.52,7.04,5.57,2.39,10779,68.34,82.99
51,5,19875,1518,1016,22410,20291,2654,7.02,6.87,5.61,3.1,12212,164.25,11.67
51,3,18414,1573,878,20866,19460,3436,7.05,6.21,7.01,3.25,12280,172.48,12.43
51,2,12204,913,569,13688,15968,1862,3.87,6.88,6.08,1.56,8895,68.93,7.18
164,4,12759,1240,6815,20815,28936,6879,6.14,6.09,5.7,2.91,11131,152.69,8.45
164,1,11668,621,4829,17121,31207,9859,6.97,6.79,7.42,3.07,11189,33.38,96.94
164,5,13418,1023,6427,20871,28253,6289,7.48,6.28,6.41,3.46,11381,140.93,8.95
164,3,12675,811,5225,18712,27492,5751,7.42,7.02,7.09,3.17,11000,124.19,9.74
164,2,9947,620,3324,13894,23987,3759,4.71,7.41,9.59,1.93,8978,44.0,4.46
69,4,631,21481,447,22561,24449,5458,6.28,6.47,5.38,2.81,11699,174.79,14.52
69,1,674,16846,823,18345,29440,8658,6.11,7.26,6.53,2.55,10873,51.54,96.65
69,5,600,21665,543,22810,24732,5370,6.91,6.54,6.44,3.08,11732,168.25,13.25
69,3,536,21707,429,22674,23627,5751,7.92,6.64,7.01,3.5,12048,166.83,13.45
69,2,696,17481,752,18931,22398,3437,5.2,7.99,8.25,2.0,9831,52.61,8.41
31,4,2578,13358,3633,19571,36803,8015,5.86,5.74,6.25,2.82,11474,158.29,11.17
31,1,2037,10837,4053,16929,38586,10611,6.2,6.02,7.92,2.85,11337,42.42,111.02
31,5,1738,14379,4396,20515,32643,6519,6.91,5.96,6.46,3.28,11494,156.99,12.58
31,3,1533,13872,3626,19034,31489,5978,7.02,6.55,7.63,3.13,11356,144.52,12.34
31,2,1274,10485,2913,14673,29222,3906,4.66,7.13,9.1,1.93,9480,58.43,9.78
42,4,3208,19626,1094,23929,20347,2756,5.57,6.58,6.18,2.54,12293,176.32,13.6
42,1,2338,14713,1142,18194,26045,6319,5.39,7.35,6.68,2.25,11256,58.99,103.45
42,5,3387,20705,1277,25371,20443,2744,6.38,6.44,7.05,2.92,12700,179.06,13.0
42,3,2996,18147,876,22020,20578,3270,6.23,7.02,7.68,2.64,11866,157.54,12.43
42,2,2118,15268,917,18305,19619,1809,4.03,8.49,8.1,1.43,9763,63.98,8.4
122,4,15486,145,3882,19514,29094,5949,6.93,6.3,4.42,3.27,11886,165.47,11.64
122,1,13368,204,4163,17737,34705,11536,7.59,6.76,6.44,3.38,11993,44.42,120.57
122,5,15570,178,4038,19787,29565,5724,7.9,6.8,5.13,3.58,11911,154.97,11.42
122,3,15005,202,3562,18771,29575,5434,8.35,7.53,5.94,3.46,11799,142.47,12.77
122,2,10246,262,2313,12823,27442,3944,4.87,8.19,7.44,1.91,9305,64.08,9.74
131,4,2929,17564,954,21449,25154,2260,6.11,7.02,5.74,2.61,11731,155.94,17.48
131,1,2723,16919,1148,20791,27581,7642,7.59,6.27,7.7,3.54,12632,45.03,137.11
131,5,2182,20042,1134,23359,23092,1730,7.91,6.64,6.57,3.51,12140,149.47,16.47
131,3,2146,17891,870,20909,23486,1982,7.52,7.73,7.03,3.01,11616,132.63,17.97
131,2,1861,14956,938,17757,22164,1755,5.17,7.94,8.31,2.01,9934,55.06,16.12
119,4,21438,173,920,22532,22908,3894,7.07,7.15,4.09,2.97,13164,168.8,15.81
119,1,17533,152,1305,18992,26873,6845,7.05,7.24,5.47,2.9,12436,53.86,102.72
119,5,23220,158,973,24353,23730,3962,8.37,7.3,4.79,3.47,13612,164.13,14.46
119,3,21609,238,695,22544,22416,4337,8.28,6.94,6.05,3.51,13649,165.54,13.96
119,2,10127,59,371,10558,15888,2112,3.39,6.75,4.46,1.21,8152,63.92,7.46
36,4,6825,15618,559,23004,38994,10276,4.78,5.16,6.96,2.44,11440,169.27,8.78
36,1,6135,12007,1252,19396,40412,20745,5.6,5.32,8.68,2.81,11500,41.66,119.75
