key,role,path,rune_id,wins,matches
266,1,2,8444,683,1669
266,1,1,8473,13,37
266,1,2,8473,2279,5815
266,1,1,8451,31,78
266,1,2,8451,285,682
266,1,1,8453,14,44
266,1,2,8453,3227,7832
266,1,1,8242,7,18
266,1,2,8242,642,1586
266,1,1,8351,160,321
266,1,1,8360,1,5
266,1,1,8369,141,273
266,1,1,8306,4,13
266,1,2,8306,21,40
266,1,1,8304,278,547
266,1,2,8304,1942,4045
266,1,1,8313,20,39
266,1,2,8313,16,49
266,1,1,8321,281,552
266,1,2,8321,256,563
266,1,1,8316,6,9
266,1,2,8316,3,12
266,1,1,8345,15,38
266,1,2,8345,17,45
266,1,1,8347,216,420
266,1,2,8347,1901,3986
266,1,1,8410,79,170
266,1,2,8410,59,139
266,1,1,8352,7,9
266,1,2,8352,7,17
266,1,1,5008,7485,16633
266,1,1,5005,5259,12034
266,1,1,5007,368,884
266,1,1,5008f,12783,28726
266,1,1,5002f,266,648
266,1,1,5003f,73,177
266,1,1,5001,905,2104
266,1,1,5002,11062,24858
266,1,1,5003,1162,2589
266,5,1,8005,80,179
266,5,1,8008,147,341
266,5,1,8021,102,199
266,5,1,8010,60113,114067
266,5,1,9101,145,292
266,5,2,9101,11,27
266,5,1,9111,60338,114494
266,5,2,9111,1290,2421
266,5,1,8009,0,0
266,5,2,8009,0,0
266,5,1,9104,7235,13940
266,5,2,9104,120,222
266,5,1,9105,50520,95321
266,5,2,9105,429,777
266,5,1,9103,2691,5525
266,5,2,9103,92,183
266,5,1,8014,4952,9845
266,5,2,8014,773,1472
266,5,1,8017,234,487
266,5,2,8017,23,36
266,5,1,8299,55256,104454
266,5,2,8299,457,824
266,5,1,8112,2099,3879
266,5,1,8124,17,30
266,5,1,8128,501,955
266,5,1,9923,59,127
266,5,1,8126,228,452
266,5,2,8126,225,447
266,5,1,8139,1312,2395
266,5,2,8139,2214,4427
266,5,1,8143,1136,2144
266,5,2,8143,955,1851
266,5,1,8136,73,149
266,5,2,8136,16,33
266,5,1,8120,69,135
266,5,2,8120,30,63
266,5,1,8138,2537,4707
266,5,2,8138,714,1349
266,5,1,8135,1598,2911
266,5,2,8135,1528,2932
266,5,1,8134,155,288
266,5,2,8134,116,235
266,5,1,8105,226,431
266,5,2,8105,212,442
266,5,1,8106,698,1361
266,5,2,8106,1026,2147
266,5,1,8214,16,34
266,5,1,8229,1574,2975
266,5,1,8230,42,79
266,5,1,8224,775,1468
266,5,2,8224,289,536
266,5,1,8226,0,0
266,5,2,8226,0,0
266,5,1,8275,859,1620
266,5,2,8275,162,289
266,5,1,8210,1441,2719
266,5,2,8210,758,1360
266,5,1,8234,83,152
266,5,2,8234,90,165
266,5,1,8233,110,217
266,5,2,8233,128,270
266,5,1,8237,1461,2751
266,5,2,8237,319,612
266,5,1,8232,16,31
266,5,2,8232,37,66
266,5,1,8236,155,306
266,5,2,8236,444,824
266,5,1,8437,146,304
266,5,1,8439,19,37
266,5,1,8465,1,4
266,5,1,8446,138,280
266,5,2,8446,1041,1979
266,5,1,8463,16,33
266,5,2,8463,55,122
266,5,1,8401,12,32
266,5,2,8401,79,159
266,5,1,8429,36,67
266,5,2,8429,1510,2812
266,5,1,8444,69,149
266,5,2,8444,23208,43460
266,5,1,8473,61,129
266,5,2,8473,33731,64373
266,5,1,8451,58,138
266,5,2,8451,2763,5408
266,5,1,8453,79,151
266,5,2,8453,46352,87622
266,5,1,8242,29,56
266,5,2,8242,9068,17077
266,5,1,8351,441,761
266,5,1,8360,4,7
266,5,1,8369,226,395
266,5,1,8306,10,18
266,5,2,8306,0,4
266,5,1,8304,618,1059
266,5,2,8304,292,540
266,5,1,8313,43,86
266,5,2,8313,15,35
266,5,1,8321,437,744
266,5,2,8321,124,249
266,5,1,8316,137,245
266,5,2,8316,11,22
266,5,1,8345,97,174
266,5,2,8345,86,163
266,5,1,8347,394,664
266,5,2,8347,288,534
266,5,1,8410,260,459
266,5,2,8410,58,106
266,5,1,8352,17,40
266,5,2,8352,32,71
266,5,1,5008,54031,101946
266,5,1,5005,10080,19610
266,5,1,5007,1513,2817
266,5,1,5008f,64045,121297
266,5,1,5002f,869,1763
266,5,1,5003f,670,1313
266,5,1,5001,2196,4224
266,5,1,5002,29254,55722
266,5,1,5003,34146,64427
266,3,1,8005,5,20
266,3,1,8008,19,51
266,3,1,8021,15,30
266,3,1,8010,1525,3513
266,3,1,9101,8,22
266,3,2,9101,12,15
266,3,1,9111,1555,3592
266,3,2,9111,45,112
266,3,1,8009,0,0
266,3,2,8009,0,0
266,3,1,9104,228,552
266,3,2,9104,3,13
266,3,1,9105,1206,2759
266,3,2,9105,13,31
266,3,1,9103,130,303
266,3,2,9103,3,11
266,3,1,8014,193,467
266,3,2,8014,33,83
266,3,1,8017,16,33
266,3,2,8017,4,6
266,3,1,8299,1355,3114
266,3,2,8299,9,23
266,3,1,8112,74,166
266,3,1,8124,1,4
266,3,1,8128,34,74
266,3,1,9923,4,16
266,3,1,8126,11,24
266,3,2,8126,11,32
266,3,1,8139,62,135
266,3,2,8139,86,214
266,3,1,8143,40,101
266,3,2,8143,47,104
266,3,1,8136,1,5
266,3,2,8136,6,19
266,3,1,8120,3,4
266,3,2,8120,5,13
266,3,1,8138,109,251
266,3,2,8138,37,81
266,3,1,8135,27,84
266,3,2,8135,75,188
266,3,1,8134,6,16
266,3,2,8134,1,9
266,3,1,8105,2,16
266,3,2,8105,11,21
266,3,1,8106,78,144
266,3,2,8106,51,127
266,3,1,8214,0,4
266,3,1,8229,18,47
266,3,1,8230,1,4
266,3,1,8224,6,22
266,3,2,8224,4,12
266,3,1,8226,0,0
266,3,2,8226,0,0
266,3,1,8275,13,33
266,3,2,8275,3,18
266,3,1,8210,17,51
266,3,2,8210,15,34
266,3,1,8234,1,2
266,3,2,8234,5,22
266,3,1,8233,1,2
266,3,2,8233,6,24
