key,role,ban_rate,pick_rate,wins,matches
114,4,9.73,5.91,668118,1339719
114,1,9.73,0.01,979,2506
114,5,9.73,0.13,14406,28471
114,3,9.73,0.01,726,1692
114,2,9.73,0.01,823,1953
105,4,5.07,0.08,8179,17834
105,1,5.07,0.03,2479,6688
105,5,5.07,4.06,468902,920679
105,3,5.07,0.02,2201,4698
105,2,5.07,0.04,3718,8170
3,4,0.38,0.09,10058,21131
3,1,0.38,0.01,1195,3180
3,5,0.38,1.91,218429,433735
3,3,0.38,0.01,790,1914
3,2,0.38,0.54,59430,122637
41,4,4.62,4.39,479938,994691
41,1,4.62,0.01,502,1765
41,5,4.62,1.38,151401,312168
41,3,4.62,0.02,1441,3576
41,2,4.62,0.02,1320,3802
86,4,3.83,7.56,882835,1712912
86,1,3.83,0.36,35232,81537
86,5,3.83,0.61,73689,138175
86,3,3.83,0.03,2764,6641
86,2,3.83,0.03,2419,6954
150,4,0.79,2.92,313331,661873
150,1,0.79,0.01,456,1423
150,5,0.79,0.05,5028,10816
150,3,0.79,0.01,1122,2890
150,2,0.79,0.01,1003,2650
79,4,0.32,1.22,130306,277012
79,1,0.32,0.83,91747,188741
79,5,0.32,0.52,58981,118174
79,3,0.32,0.01,763,1908
79,2,0.32,0.28,29671,63089
104,4,6.31,0.53,58450,120317
104,1,6.31,9.04,1003212,2046953
104,5,6.31,0.29,33220,65253
104,3,6.31,0.05,5143,11348
104,2,6.31,0.01,1222,3237
887,4,1.0,1.7,180466,385200
887,1,1.0,0.13,13516,30408
887,5,1.0,0.09,9288,19829
887,3,1.0,0.0,390,978
887,2,1.0,0.0,271,760
120,4,13.62,0.09,8439,20836
120,1,13.62,7.3,798847,1654613
120,5,13.62,0.01,655,1765
120,3,13.62,0.0,101,372
120,2,13.62,0.0,314,1127
74,4,3.13,1.06,123782,240867
74,1,3.13,0.02,1272,3580
74,5,3.13,1.92,233014,434809
74,3,3.13,0.26,30825,58062
74,2,3.13,0.81,97507,184219
420,4,8.69,4.46,517336,1011211
420,1,8.69,0.01,451,1488
420,5,8.69,0.2,24531,46320
420,3,8.69,0.01,789,1920
420,2,8.69,0.03,3145,7678
39,4,16.92,4.35,490917,984788
39,1,16.92,0.01,1032,3356
39,5,16.92,5.01,574238,1135530
39,3,16.92,0.07,6275,14781
39,2,16.92,0.01,739,2322
427,4,0.35,0.03,3252,7154
427,1,0.35,0.52,55442,117189
427,5,0.35,0.04,4239,8364
427,3,0.35,0.0,302,873
427,2,0.35,0.09,8809,19263
40,4,1.03,0.02,1880,4248
40,1,1.03,0.0,125,647
40,5,1.03,0.01,1151,3230
40,3,1.03,0.01,600,2381
40,2,1.03,4.32,508376,979153
59,4,0.24,0.09,9527,20747
59,1,0.24,3.02,341516,683305
59,5,0.24,0.07,8128,16096
59,3,0.24,0.01,1161,2568
59,2,0.24,0.21,22705,47629
24,4,4.79,5.8,654119,1314547
24,1,4.79,1.49,166606,337055
24,5,4.79,0.16,17719,35114
24,3,4.79,0.02,1807,3902
24,2,4.79,0.03,3514,7842
126,4,0.36,1.93,207574,436722
126,1,0.36,0.01,797,2202
126,5,0.36,0.51,57259,114427
126,3,0.36,0.02,2207,5090
126,2,0.36,0.02,1533,3857
202,4,3.84,0.1,10898,22857
202,1,3.84,0.02,1349,3624
202,5,3.84,0.26,29603,59635
202,3,3.84,15.37,1776918,3480740
202,2,3.84,0.07,5883,16409
222,4,0.85,0.02,2037,4828
222,1,0.85,0.01,524,1359
222,5,0.85,0.04,4322,9692
222,3,0.85,9.28,1034224,2102081
222,2,0.85,0.04,2907,9445
145,4,4.55,0.16,16970,35742
145,1,4.55,0.03,2683,6569
145,5,4.55,0.54,58521,123098
145,3,4.55,21.01,2386862,4759445
145,2,4.55,0.08,6879,18399
429,4,1.59,0.33,35204,75512
429,1,1.59,0.0,334,1107
429,5,1.59,0.08,9105,18570
429,3,1.59,2.94,312670,666673
429,2,1.59,0.01,774,2923
43,4,1.2,0.28,30282,63377
43,1,1.2,0.0,166,584
43,5,1.2,0.3,33072,67466
43,3,1.2,0.02,1869,5240
43,2,1.2,5.1,562814,1154728
30,4,0.77,0.17,18826,38225
30,1,0.77,1.7,188524,384899
30,5,0.77,0.32,36915,72968
30,3,0.77,0.3,35982,67839
30,2,0.77,0.13,15361,30418
38,4,2.95,0.08,8250,17796
38,1,2.95,0.01,482,1526
38,5,2.95,2.69,302980,610231
38,3,2.95,0.0,352,922
38,2,2.95,0.01,418,1153
55,4,9.36,0.13,13573,29512
55,1,9.36,0.01,918,2624
55,5,9.36,8.3,935188,1879775
55,3,9.36,0.05,5491,12102
55,2,9.36,0.03,2406,6183
10,4,1.28,3.35,383065,759447
10,1,1.28,0.02,1402,3944
10,5,1.28,0.49,57044,111544
10,3,1.28,0.03,2603,5828
10,2,1.28,0.05,4227,10914
141,4,15.92,0.29,31641,65400
141,1,15.92,11.67,1315313,2644376
141,5,15.92,0.06,6727,14109
141,3,15.92,0.0,377,1057
141,2,15.92,0.01,903,2419
85,4,0.43,1.48,160532,335561
85,1,0.43,0.0,230,717
85,5,0.43,0.32,37493,72464
85,3,0.43,0.02,2133,5040
85,2,0.43,0.06,6756,14320
121,4,1.87,0.04,4587,9755
121,1,1.87,4.83,544228,1094586
121,5,1.87,0.02,2279,4884
121,3,1.87,0.0,135,383
121,2,1.87,0.01,520,1399
203,4,2.98,0.03,2799,6652
203,1,2.98,4.75,528408,1074873
203,5,2.98,0.05,5680,11972
203,3,2.98,0.09,9308,19939
203,2,2.98,0.01,718,1938
240,4,0.81,1.5,172367,340512
240,1,0.81,0.01,1287,3109
240,5,0.81,0.15,18654,34725
240,3,0.81,0.01,646,1359
240,2,0.81,0.02,1745,3799
96,4,0.39,0.04,4050,8322
96,1,0.39,0.0,435,1126
96,5,0.39,0.16,18598,36931
96,3,0.39,1.71,197721,388298
96,2,0.39,0.05,4930,10341
7,4,7.78,0.06,6528,14312
7,1,7.78,0.0,285,833
7,5,7.78,4.52,486574,1023290
7,3,7.78,0.02,1547,3954
7,2,7.78,0.33,36761,74505
64,4,6.75,0.18,17957,41129
64,1,6.75,9.73,1021977,2203012
64,5,6.75,0.15,15896,34533
64,3,6.75,0.02,2274,5404
64,2,6.75,0.16,15039,35704
89,4,8.45,0.04,3690,8702
89,1,8.45,0.02,1438,3721
89,5,8.45,0.01,1061,2655
