key,role,ban_rate,pick_rate,wins,matches
238,4,43.43,0.21,24027,48227
238,1,43.43,1.64,180380,370924
238,5,43.43,9.9,1135470,2242239
238,3,43.43,0.04,4138,9395
238,2,43.43,0.05,4813,11417
221,4,1.09,0.03,2992,7161
221,1,1.09,0.0,231,858
221,5,1.09,0.1,9681,22519
221,3,1.09,1.44,139845,325449
221,2,1.09,0.02,1796,4858
115,4,0.25,0.05,5202,10880
115,1,0.25,0.0,131,439
115,5,0.25,1.52,172704,343211
115,3,0.25,0.61,70886,139183
115,2,0.25,0.31,34945,71143
26,4,1.12,0.08,8903,17456
26,1,1.12,0.0,116,454
26,5,1.12,0.43,51636,97115
26,3,1.12,0.02,2217,5368
26,2,1.12,2.88,338183,653493
142,4,1.02,0.02,2060,4354
142,1,1.02,0.0,94,331
142,5,1.02,2.44,267462,551923
142,3,1.02,0.02,1714,4001
142,2,1.02,0.3,32896,68950
143,4,3.84,0.03,3594,7650
143,1,3.84,0.02,1669,4079
143,5,3.84,0.27,30694,61660
143,3,3.84,0.05,5358,12368
143,2,3.84,5.68,679550,1286296
